db_name,member,for_each,datatype,start_value,retain,ext_accessible,ext_visible,ext_writable,setpoint,comment
DiagnosticTags,S1.CABINET{$cabinet:03d}.STATE,cabinet in unique($diag_cabinet) where numeric($diag_cabinet),UDInt,,false,true,true,true,false,
DiagnosticTags,S1.CABINET{$cabinet:03d}.ALARM1,cabinet in unique($diag_cabinet) where numeric($diag_cabinet),UDInt,,false,true,true,true,false,
DiagnosticTags,S1.CABINET{$cabinet:03d}.ALARM2,cabinet in unique($diag_cabinet) where numeric($diag_cabinet),UDInt,,false,true,true,true,false,
DiagnosticTags,S1.CABINET{$cabinet:03d}.WARNING1,cabinet in unique($diag_cabinet) where numeric($diag_cabinet),UDInt,,false,true,true,true,false,
DiagnosticTags,S1.CABINET{$cabinet:03d}.WARNING2,cabinet in unique($diag_cabinet) where numeric($diag_cabinet),UDInt,,false,true,true,true,false,
PROFINET_NODES_ALARM,{$profinet_name} {$profinet_ip},row where $script_type = 'PA',Bool,,false,true,true,true,false,
00_Commissioning,{$profinet_name} {$profinet_ip},row where $script_type = 'PA',Bool,,false,true,true,true,false,
PROFINET_NODES_WARNING,{$profinet_name} {$profinet_ip},row where $script_type = 'PW',Bool,,false,true,true,true,false,
01_Pushbutton,Emergency Push Button [ {$combined_FLD} ],row where $script_type = 'E1/2',Bool,,false,true,true,true,false,
01_Pushbutton,Safety Breaker [ {$combined_FLD} ],row where $script_type = 'B1/2',Bool,,false,true,true,true,false,
04_SPEED,Safety Encoder {$index} Sensor 1 Healthy [ {$iol_FLD} ],row where $script_type = 'N1/2',Bool,,false,true,true,true,false,
04_SPEED,Safety Encoder {$index} Sensor 2 Healthy [ {$iol_FLD} ],row where $script_type = 'N2/2',Bool,,false,true,true,true,false,
04_SPEED,Safety Encoder {$index} Healthy [ {$iol_FLD} ],row where $script_type = 'N1/2',Bool,,false,true,true,true,false,
07_DOOR,Door Closed SAFE_STATE [ {$combined_FLD} ],row where $script_type = 'DI1/2',Bool,,false,true,true,true,false,
07_DOOR,Door Closed DIAGNOSIS [ {$combined_FLD} ],row where $script_type = 'DI2/2',Bool,,false,true,true,true,false,
07_DOOR,Door Alarm [ {$combined_FLD} ],row where $script_type = 'DD',Bool,,false,true,true,true,false,
03_FDBACK,Contactor Feedback Error [ {$combined_FLD} ],"row where $script_type in ['KQ','KQ1/2']",Bool,,false,true,true,true,false,
03_FDBACK_RAW,Contactor Feedback Error [ {$combined_FLD} ],"row where $script_type in ['KQ','KQ1/2']",Bool,,false,true,true,true,false,
